Comment,Designator,Footprint,LCSC
100k,R1,R_0603_1608Metric,
GND,H5,MountingHole_2.2mm_M2_DIN965_Pad,
22u,C5,C_1210_3225Metric,
SOL4,J10,PinHeader_1x02_P5.00mm,
SERVO1,J3,PinHeader_1x02_P5.00mm,
11k,R3,R_0603_1608Metric,
15k,R2,R_0603_1608Metric,
FAN1,J7,PinHeader_1x02_P5.00mm,
10u,C2,C_1206_3216Metric,
SOL2,J6,PinHeader_1x02_P5.00mm,
FAN2,J9,PinHeader_1x02_P5.00mm,
GND,H6,MountingHole_2.2mm_M2_DIN965_Pad,
SERVO2,J4,PinHeader_1x02_P5.00mm,
SOL3,J8,PinHeader_1x02_P5.00mm,
22u,C4,C_1210_3225Metric,
12V,H2,MountingHole_2.2mm_M2_DIN965_Pad,
100n,C3,C_0603_1608Metric,
SOL1,J1,PinHeader_1x02_P5.00mm,
12V,H3,MountingHole_2.2mm_M2_DIN965_Pad,
RPI Input,J5,PinHeader_1x09_P2.54mm_Vertical,
12V,H1,MountingHole_2.2mm_M2_DIN965_Pad,
SW_SPDT,SW1,remote switch,
10u,C1,C_1206_3216Metric,
TPS566247DRLR,U1,SOT-563,
22u,C6,C_1210_3225Metric,
220k,R5,R_1206_3216Metric,
GND,H4,MountingHole_2.2mm_M2_DIN965_Pad,
22u,C7,C_1210_3225Metric,
RPI,J2,PinHeader_1x02_P5.00mm,
15k,R4,R_0603_1608Metric,
SOL5,J11,PinHeader_1x02_P5.00mm,
10k,R19,R_0805_2012Metric,
1k,R18,R_0805_2012Metric,
10k,R17,R_0805_2012Metric,
1k,R16,R_0805_2012Metric,
10k,R15,R_0805_2012Metric,
1k,R14,R_0805_2012Metric,
10k,R13,R_0805_2012Metric,
1k,R12,R_0805_2012Metric,
10k,R11,R_0805_2012Metric,
1k,R10,R_0805_2012Metric,
10k,R9,R_0805_2012Metric,
1k,R8,R_0805_2012Metric,
10k,R7,R_0805_2012Metric,
1k,R6,R_0805_2012Metric,
DMG2302U-7,Q7,SOT-23,
DMG2302U-7,Q6,SOT-23,
DMG2302U-7,Q5,SOT-23,
DMG2302U-7,Q4,SOT-23,
DMG2302U-7,Q3,SOT-23,
DMG2302U-7,Q2,SOT-23,
DMG2302U-7,Q1,SOT-23,
B220-13-F,D5,D_SMB,
B220-13-F,D4,D_SMB,
B220-13-F,D3,D_SMB,
B220-13-F,D2,D_SMB,
B220-13-F,D1,D_SMB,
MountingHole_Pad,H9,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole_Pad,H10,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole_Pad,H8,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole_Pad,H7,MountingHole_3.2mm_M3_DIN965_Pad,
DMG2302U-7,Q8,SOT-23,
1k,R20,R_0805_2012Metric,
10k,R21,R_0805_2012Metric,
SOL5,J13,PinHeader_1x02_P5.00mm,
B220-13-F,D6,D_SMB,
2u2,LIHLP4040DZER2R2M1,L_Vishay_IHLP-4040,
SERVO3,J12,PinHeader_1x02_P5.00mm,
