Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,144.33,-61.45,-90.0,top
C2,10u,C_1206_3216Metric,147.13,-61.45,-90.0,top
C3,100n,C_0603_1608Metric,149.33,-60.65,-90.0,top
C4,22u,C_1210_3225Metric,160.67,-60.19,90.0,top
C5,22u,C_1210_3225Metric,165.46,-60.19,90.0,top
C6,22u,C_1210_3225Metric,166.33,-65.73,0.0,top
C7,22u,C_1210_3225Metric,166.33,-70.25,0.0,top
D1,B220-13-F,D_SMB,95.1,-93.1,180.0,top
D2,B220-13-F,D_SMB,105.1,-93.1,180.0,top
D3,B220-13-F,D_SMB,115.1,-93.1,180.0,top
D4,B220-13-F,D_SMB,125.1,-93.1,180.0,top
D5,B220-13-F,D_SMB,135.1,-93.1,180.0,top
D6,B220-13-F,D_SMB,145.1,-93.1,180.0,top
H1,12V,MountingHole_2.2mm_M2_DIN965_Pad,104.4,-65.2,180.0,top
H2,12V,MountingHole_2.2mm_M2_DIN965_Pad,98.6,-65.2,180.0,top
H3,12V,MountingHole_2.2mm_M2_DIN965_Pad,110.0,-65.2,180.0,top
H4,GND,MountingHole_2.2mm_M2_DIN965_Pad,98.5,-57.9,180.0,top
H5,GND,MountingHole_2.2mm_M2_DIN965_Pad,110.1,-57.9,180.0,top
H6,GND,MountingHole_2.2mm_M2_DIN965_Pad,104.4,-57.9,180.0,top
H7,MountingHole_Pad,MountingHole_3.2mm_M3_DIN965_Pad,175.9,-49.0,0.0,top
H8,MountingHole_Pad,MountingHole_3.2mm_M3_DIN965_Pad,84.9,-100.0,0.0,top
H9,MountingHole_Pad,MountingHole_3.2mm_M3_DIN965_Pad,84.9,-49.0,0.0,top
H10,MountingHole_Pad,MountingHole_3.2mm_M3_DIN965_Pad,175.9,-100.0,0.0,top
J1,SOL1,PinHeader_1x02_P5.00mm,92.5,-99.4,90.0,top
J2,RPI,PinHeader_1x02_P5.00mm,144.4725,-49.4875,-90.0,top
J3,SERVO1,PinHeader_1x02_P5.00mm,154.5,-49.5,-90.0,top
J4,SERVO2,PinHeader_1x02_P5.00mm,164.7,-49.5,-90.0,top
J5,RPI Input,PinHeader_1x09_P2.54mm_Vertical,87.45,-65.25,0.0,top
J6,SOL2,PinHeader_1x02_P5.00mm,102.5,-99.4,90.0,top
J7,FAN1,PinHeader_1x02_P5.00mm,153.9,-99.4,90.0,top
J8,SOL3,PinHeader_1x02_P5.00mm,112.5,-99.4,90.0,top
J9,FAN2,PinHeader_1x02_P5.00mm,163.9,-99.4,90.0,top
J10,SOL4,PinHeader_1x02_P5.00mm,122.5,-99.4,90.0,top
J11,SOL5,PinHeader_1x02_P5.00mm,132.5,-99.4,90.0,top
J12,SERVO3,PinHeader_1x02_P5.00mm,134.4825,-49.4975,-90.0,top
J13,SOL5,PinHeader_1x02_P5.00mm,142.5,-99.39,90.0,top
LIHLP4040DZER2R2M1,2u2,L_Vishay_IHLP-4040,155.5875,-69.1075,0.0,top
Q1,DMG2302U-7,SOT-23,95.1,-87.5,-90.0,top
Q2,DMG2302U-7,SOT-23,105.0,-87.5,-90.0,top
Q3,DMG2302U-7,SOT-23,156.8,-94.0,-90.0,top
Q4,DMG2302U-7,SOT-23,115.0,-87.6,-90.0,top
Q5,DMG2302U-7,SOT-23,166.2,-94.0,-90.0,top
Q6,DMG2302U-7,SOT-23,125.2,-87.6,-90.0,top
Q7,DMG2302U-7,SOT-23,135.0,-87.6,-90.0,top
Q8,DMG2302U-7,SOT-23,145.0,-87.6,-90.0,top
R1,100k,R_0603_1608Metric,150.23,-55.75,0.0,top
R2,15k,R_0603_1608Metric,156.23,-59.35,90.0,top
R3,11k,R_0603_1608Metric,153.43,-54.95,-90.0,top
R4,15k,R_0603_1608Metric,155.43,-62.05,0.0,top
R5,220k,R_1206_3216Metric,157.03,-56.05,0.0,top
R6,1k,R_0805_2012Metric,96.0,-83.1,-90.0,top
R7,10k,R_0805_2012Metric,92.4,-83.9,0.0,top
R8,1k,R_0805_2012Metric,105.9,-83.1,-90.0,top
R9,10k,R_0805_2012Metric,102.2,-83.9,0.0,top
R10,1k,R_0805_2012Metric,156.7,-89.2,-90.0,top
R11,10k,R_0805_2012Metric,153.3,-90.1,0.0,top
R12,1k,R_0805_2012Metric,115.9,-83.1,-90.0,top
R13,10k,R_0805_2012Metric,112.3,-83.9,0.0,top
R14,1k,R_0805_2012Metric,166.2,-89.3,-90.0,top
R15,10k,R_0805_2012Metric,162.8,-90.2,0.0,top
R16,1k,R_0805_2012Metric,126.1,-83.1,-90.0,top
R17,10k,R_0805_2012Metric,122.5,-83.9,0.0,top
R18,1k,R_0805_2012Metric,136.8,-83.1,-90.0,top
R19,10k,R_0805_2012Metric,133.3,-83.9,0.0,top
R20,1k,R_0805_2012Metric,146.4,-83.3,-90.0,top
R21,10k,R_0805_2012Metric,142.8,-84.0,0.0,top
SW1,SW_SPDT,remote switch,120.5,-62.9,90.0,top
U1,TPS566247DRLR,SOT-563,152.73,-59.05,0.0,top
