Comment,Designator,Footprint,LCSC
100k,R1,R_0603_1608Metric,
GND,H5,MountingHole_2.2mm_M2_DIN965_Pad,
22u,C5,C_1210_3225Metric,
12OUT,J10,PinHeader_1x02_P5.00mm,
12OUT,J3,PinHeader_1x02_P5.00mm,
11k,R3,R_0603_1608Metric,
15k,R2,R_0603_1608Metric,
12OUT,J7,PinHeader_1x02_P5.00mm,
10u,C2,C_1206_3216Metric,
12OUT,J6,PinHeader_1x02_P5.00mm,
12OUT,J9,PinHeader_1x02_P5.00mm,
GND,H6,MountingHole_2.2mm_M2_DIN965_Pad,
12OUT,J4,PinHeader_1x02_P5.00mm,
12OUT,J8,PinHeader_1x02_P5.00mm,
22u,C4,C_1210_3225Metric,
12V,H2,MountingHole_2.2mm_M2_DIN965_Pad,
100n,C3,C_0603_1608Metric,
2u2,L1,L_Wuerth_WE-PD2-Typ-XL,
12OUT,J1,PinHeader_1x02_P5.00mm,
12V,H3,MountingHole_2.2mm_M2_DIN965_Pad,
12OUT,J5,PinHeader_1x02_P5.00mm,
12V,H1,MountingHole_2.2mm_M2_DIN965_Pad,
SW_SPDT,SW1,remote switch,
10u,C1,C_1206_3216Metric,
TPS566247DRLR,U1,SOT-563,
22u,C6,C_1210_3225Metric,
220k,R5,R_1206_3216Metric,
GND,H4,MountingHole_2.2mm_M2_DIN965_Pad,
22u,C7,C_1210_3225Metric,
5OUT,J2,PinHeader_1x02_P5.00mm,
15k,R4,R_0603_1608Metric,
